Day;Month;Year;Sensor;Plot;Subplot;Moisture;Salinity;Observer;Observations
13;12;2019;10;3;E2;21,5;0.103;Oscar and Maria ;
13;12;2019;10;3;E3;26,4;0.152;Oscar and Maria ;
13;12;2019;10;3;E4;35,9;0.251;Oscar and Maria ;
13;12;2019;10;3;E5;NA;0.114;Oscar and Maria ;
13;12;2019;10;3;E6;36,6;0.144;Oscar and Maria ;
13;12;2019;10;3;F1;23;0.138;Oscar and Maria ;
13;12;2019;10;3;F2;NA;0.107;Oscar and Maria ;
13;12;2019;10;3;F3;22,8;0.159;Oscar and Maria ;
13;12;2019;10;3;F4;22,9;0.16;Oscar and Maria ;
13;12;2019;10;3;F5;20,8;0.124;Oscar and Maria ;
13;12;2019;10;3;F6;23,8;0.18;Oscar and Maria ;
13;12;2019;10;4;A1;NA;0.235;Oscar and Maria ;
13;12;2019;10;4;A2;36,7;0.04;Oscar and Maria ;
13;12;2019;10;4;A3;NA;0.235;Oscar and Maria ;
13;12;2019;10;4;A4;NA;0.278;Oscar and Maria ;
13;12;2019;10;4;A5;NA;0.273;Oscar and Maria ;
13;12;2019;10;4;A6;NA;0.181;Oscar and Maria ;
13;12;2019;10;4;B1;NA;0.36;Oscar and Maria ;
13;12;2019;10;4;B2;21,4;0.117;Oscar and Maria ;
13;12;2019;10;4;B3;NA;0.231;Oscar and Maria ;
13;12;2019;10;4;B4;NA;0.252;Oscar and Maria ;
13;12;2019;10;4;B5;NA;0.195;Oscar and Maria ;
13;12;2019;10;4;B6;NA;0.129;Oscar and Maria ;
13;12;2019;10;4;C1;22,5;0.136;Oscar and Maria ;
13;12;2019;10;4;C2;NA;0.124;Oscar and Maria ;
13;12;2019;10;4;C3;NA;0.185;Oscar and Maria ;
13;12;2019;10;4;C4;22,2;0.113;Oscar and Maria ;
13;12;2019;10;4;C5;NA;0.174;Oscar and Maria ;
13;12;2019;10;4;C6;NA;0.121;Oscar and Maria ;
13;12;2019;10;4;D1;NA;0.225;Oscar and Maria ;
13;12;2019;10;4;D2;NA;0.263;Oscar and Maria ;
13;12;2019;10;4;D3;23,2;0.11;Oscar and Maria ;
13;12;2019;10;4;D4;NA;0.156;Oscar and Maria ;
13;12;2019;10;4;D5;NA;0.158;Oscar and Maria ;
13;12;2019;10;4;D6;NA;0.232;Oscar and Maria ;
13;12;2019;10;4;E1;18;0.069;Oscar and Maria ;
13;12;2019;10;4;E2;NA;0.025;Oscar and Maria ;
13;12;2019;10;4;E3;NA;0.256;Oscar and Maria ;
13;12;2019;10;4;E4;20,1;0.064;Oscar and Maria ;
13;12;2019;10;4;E5;7,1;0.029;Oscar and Maria ;
13;12;2019;10;4;E6;NA;0.2;Oscar and Maria ;
13;12;2019;10;4;F1;20,8;0.081;Oscar and Maria ;
13;12;2019;10;4;F2;21,5;0.09;Oscar and Maria ;
13;12;2019;10;4;F3;NA;0.175;Oscar and Maria ;
13;12;2019;10;4;F4;NA;0.148;Oscar and Maria ;
13;12;2019;10;4;F5;20,2;0.092;Oscar and Maria ;
13;12;2019;10;4;F6;23,2;0.108;Oscar and Maria ;
13;12;2019;10;5;A1;NA;0.2;Oscar and Maria ;
13;12;2019;10;5;A2;19,7;0.081;Oscar and Maria ;
13;12;2019;10;5;A3;NA;0.262;Oscar and Maria ;
13;12;2019;10;5;A4;35,8;0.179;Oscar and Maria ;
13;12;2019;10;5;A5;35,7;0.178;Oscar and Maria ;
13;12;2019;10;5;A6;22,8;0.127;Oscar and Maria ;
13;12;2019;10;5;B1;NA;0.151;Oscar and Maria ;
13;12;2019;10;5;B2;NA;0.215;Oscar and Maria ;
13;12;2019;10;5;B3;22;0.132;Oscar and Maria ;
13;12;2019;10;5;B4;NA;0.153;Oscar and Maria ;
13;12;2019;10;5;B5;20,3;0.113;Oscar and Maria ;
13;12;2019;10;5;B6;NA;0.288;Oscar and Maria ;
13;12;2019;10;5;C1;27;0.151;Oscar and Maria ;
13;12;2019;10;5;C2;NA;0.261;Oscar and Maria ;
13;12;2019;10;5;C3;NA;0.205;Oscar and Maria ;
13;12;2019;10;5;C4;NA;0.076;Oscar and Maria ;
13;12;2019;10;5;C5;NA;0.187;Oscar and Maria ;
13;12;2019;10;5;C6;9,6;0.056;Oscar and Maria ;
13;12;2019;10;5;D1;NA;0.173;Oscar and Maria ;
13;12;2019;10;5;D2;NA;0.232;Oscar and Maria ;
13;12;2019;10;5;D3;NA;0.182;Oscar and Maria ;
13;12;2019;10;5;D4;NA;0.178;Oscar and Maria ;
13;12;2019;10;5;D5;NA;0.11;Oscar and Maria ;
13;12;2019;10;5;D6;22,5;0.119;Oscar and Maria ;
13;12;2019;10;5;E1;NA;0.225;Oscar and Maria ;
13;12;2019;10;5;E2;NA;0.25;Oscar and Maria ;
13;12;2019;10;5;E3;NA;0.174;Oscar and Maria ;
13;12;2019;10;5;E4;NA;0.171;Oscar and Maria ;
13;12;2019;10;5;E5;NA;0.263;Oscar and Maria ;
13;12;2019;10;5;E6;NA;0.232;Oscar and Maria ;
13;12;2019;10;5;F1;NA;0.238;Oscar and Maria ;
13;12;2019;10;5;F2;23,5;0.138;Oscar and Maria ;
13;12;2019;10;5;F3;NA;0.065;Oscar and Maria ;
13;12;2019;10;5;F4;55,1;0.296;Oscar and Maria ;
13;12;2019;10;5;F5;NA;0.207;Oscar and Maria ;
13;12;2019;10;5;F6;NA;0.167;Oscar and Maria ;
13;12;2019;10;6;A1;NA;0.155;Oscar and Maria ;
13;12;2019;10;6;A2;NA;0.281;Oscar and Maria ;
13;12;2019;10;6;A3;NA;0.234;Oscar and Maria ;
13;12;2019;10;6;A4;NA;0.125;Oscar and Maria ;
13;12;2019;10;6;A5;NA;0.195;Oscar and Maria ;
13;12;2019;10;6;A6;36,7;0.11;Oscar and Maria ;
13;12;2019;10;6;B1;NA;0.163;Oscar and Maria ;
13;12;2019;10;6;B2;NA;0.134;Oscar and Maria ;
13;12;2019;10;6;B3;35,8;0.158;Oscar and Maria ;
13;12;2019;10;6;B4;NA;0.146;Oscar and Maria ;
13;12;2019;10;6;B5;NA;0.255;Oscar and Maria ;
13;12;2019;10;6;B6;36,4;0.156;Oscar and Maria ;
13;12;2019;10;6;C1;NA;0.164;Oscar and Maria ;
13;12;2019;10;6;C2;NA;0.215;Oscar and Maria ;
13;12;2019;10;6;C3;NA;0.167;Oscar and Maria ;
13;12;2019;10;6;C4;NA;0.155;Oscar and Maria ;
13;12;2019;10;6;C5;NA;0.241;Oscar and Maria ;
13;12;2019;10;6;C6;NA;0.141;Oscar and Maria ;
13;12;2019;10;6;D1;21,2;0.095;Oscar and Maria ;
13;12;2019;10;6;D2;NA;0.17;Oscar and Maria ;
13;12;2019;10;6;D3;NA;0.18;Oscar and Maria ;
13;12;2019;10;6;D4;22,2;0.117;Oscar and Maria ;
13;12;2019;10;6;D5;NA;0.207;Oscar and Maria ;
13;12;2019;10;6;D6;36,1;0.167;Oscar and Maria ;
13;12;2019;10;6;E1;NA;0.231;Oscar and Maria ;
13;12;2019;10;6;E2;NA;0.254;Oscar and Maria ;
13;12;2019;10;6;E3;21,3;0.123;Oscar and Maria ;
13;12;2019;10;6;E4;36,7;0.146;Oscar and Maria ;
13;12;2019;10;6;E5;27,7;0.121;Oscar and Maria ;
13;12;2019;10;6;E6;36,5;0.024;Oscar and Maria ;
13;12;2019;10;6;F1;NA;0.342;Oscar and Maria ;
13;12;2019;10;6;F2;NA;0.247;Oscar and Maria ;
13;12;2019;10;6;F3;NA;0.229;Oscar and Maria ;
13;12;2019;10;6;F4;NA;0.156;Oscar and Maria ;
13;12;2019;10;6;F5;30,8;0.192;Oscar and Maria ;
13;12;2019;10;6;F6;20,3;0.076;Oscar and Maria ;
13;12;2019;10;7;A1;NA;0.191;Oscar and Maria ;
13;12;2019;10;7;A2;36,3;0.001;Oscar and Maria ;
13;12;2019;10;7;A3;59,5;0.07;Oscar and Maria ;
13;12;2019;10;7;A4;NA;0.114;Oscar and Maria ;
13;12;2019;10;7;A5;22,2;0.091;Oscar and Maria ;
13;12;2019;10;7;A6;NA;0.151;Oscar and Maria ;
13;12;2019;10;7;B1;NA;0.123;Oscar and Maria ;
13;12;2019;10;7;B2;NA;0.011;Oscar and Maria ;
13;12;2019;10;7;B3;NA;0.142;Oscar and Maria ;
13;12;2019;10;7;B4;36,8;0.143;Oscar and Maria ;
13;12;2019;10;7;B5;NA;0.217;Oscar and Maria ;
13;12;2019;10;7;B6;NA;0.152;Oscar and Maria ;
13;12;2019;10;7;C1;22,5;0.006;Oscar and Maria ;
13;12;2019;10;7;C2;NA;0.165;Oscar and Maria ;
13;12;2019;10;7;C3;NA;0.072;Oscar and Maria ;
13;12;2019;10;7;C4;NA;0.12;Oscar and Maria ;
13;12;2019;10;7;C5;NA;0.189;Oscar and Maria ;
13;12;2019;10;7;C6;NA;0.11;Oscar and Maria ;
13;12;2019;10;7;D1;NA;0.126;Oscar and Maria ;
13;12;2019;10;7;D2;NA;0.134;Oscar and Maria ;
13;12;2019;10;7;D3;36,2;0.21;Oscar and Maria ;
13;12;2019;10;7;D4;NA;0.212;Oscar and Maria ;
13;12;2019;10;7;D5;36,7;0.114;Oscar and Maria ;
13;12;2019;10;7;D6;NA;0.101;Oscar and Maria ;
13;12;2019;10;7;E1;NA;0.332;Oscar and Maria ;
13;12;2019;10;7;E2;NA;0.172;Oscar and Maria ;
13;12;2019;10;7;E3;NA;0.188;Oscar and Maria ;
13;12;2019;10;7;E4;NA;0.162;Oscar and Maria ;
13;12;2019;10;7;E5;35,9;0.091;Oscar and Maria ;
13;12;2019;10;7;E6;NA;0.138;Oscar and Maria ;
13;12;2019;10;7;F1;23;0.215;Oscar and Maria ;
13;12;2019;10;7;F2;NA;0.184;Oscar and Maria ;
13;12;2019;10;7;F3;NA;0.191;Oscar and Maria ;
13;12;2019;10;7;F4;NA;0.092;Oscar and Maria ;
13;12;2019;10;7;F5;NA;0.208;Oscar and Maria ;
13;12;2019;10;7;F6;NA;0.192;Oscar and Maria ;
13;12;2019;10;8;A1;36,2;0.11;Oscar and Maria ;
13;12;2019;10;8;A2;NA;0.188;Oscar and Maria ;
13;12;2019;10;8;A3;NA;0.199;Oscar and Maria ;
13;12;2019;10;8;A4;NA;0.098;Oscar and Maria ;
13;12;2019;10;8;A5;NA;0.089;Oscar and Maria ;
13;12;2019;10;8;A6;NA;0.202;Oscar and Maria ;
13;12;2019;10;8;B1;NA;0.167;Oscar and Maria ;
13;12;2019;10;8;B2;NA;0.122;Oscar and Maria ;
13;12;2019;10;8;B3;36,8;0.113;Oscar and Maria ;
13;12;2019;10;8;B4;NA;0.169;Oscar and Maria ;
13;12;2019;10;8;B5;NA;0.168;Oscar and Maria ;
13;12;2019;10;8;B6;NA;0.032;Oscar and Maria ;
13;12;2019;10;8;C1;23,7;0.098;Oscar and Maria ;
13;12;2019;10;8;C2;NA;0.046;Oscar and Maria ;
13;12;2019;10;8;C3;NA;0.034;Oscar and Maria ;
13;12;2019;10;8;C4;NA;0.146;Oscar and Maria ;
13;12;2019;10;8;C5;NA;0.088;Oscar and Maria ;
