day;month;year;Plot;Subplot;Moisture;Salinity;Salinity_mean;Sensor;Observations;;
1;28;2019;3;B5;19.2;0.138;0.138;5;;;
1;28;2019;3;B6;17.7;0.141;0.141;5;;;
1;28;2019;3;C1;37.0;0.165;0.165;10;;;
1;28;2019;3;C2;17.9;0.136;0.136;5;;;
1;28;2019;3;C3;43.5;0.163;0.163;10;;;
1;28;2019;3;C4;43.1;0.164;0.164;10;;;
1;28;2019;3;C5;13.8;0.100;0.100;5;;;
1;28;2019;3;C6;15.6;0.126;0.126;5;;;
1;28;2019;3;D1;38.1;0.132;0.132;10;;;
1;28;2019;3;D2;14.9;0.125;0.125;5;;;
1;28;2019;3;D3;42.0;0.171;0.171;10;;;
1;28;2019;3;D4;42.4;0.174;0.174;10;;;
1;28;2019;3;D5;40.7;0.178;0.178;10;;;
1;28;2019;3;D6;41.1;0.184;0.184;10;;;
1;28;2019;3;E1;38.8;0.188;0.188;10;;;
1;28;2019;3;E2;37.8;0.144;0.144;10;;;
1;28;2019;3;E3;12.9;0.108;0.108;5;;;
1;28;2019;3;E4;16.1;0.133;0.133;5;;;
1;28;2019;3;E5;32.7;0.187;0.187;10;;;
1;28;2019;3;E6;40.6;0.225;0.225;10;;;
1;28;2019;3;F1;16.9;0.124;0.124;5;;;
1;28;2019;3;F2;40.1;0.169;0.169;10;;;
1;28;2019;3;F3;40.4;0.177;0.177;10;;;
1;28;2019;3;F4;18.3;0.147;0.147;5;;;
1;28;2019;3;F5;41.6;0.181;0.181;10;;;
1;28;2019;3;F6;40.9;0.204;0.204;10;;;
1;28;2019;4;A1;19.6;0.175;0.175;5;;;
1;28;2019;4;A2;44.2;0.294;0.294;10;;;
1;28;2019;4;A3;20.7;0.228;0.228;5;;;
1;28;2019;4;A4;13.5;0.202;0.202;5;;;
1;28;2019;4;A5;16.4;0.167;0.167;5;;;
1;28;2019;4;A6;42.1;0.292;0.292;10;;;
1;28;2019;4;B1;35.9;0.180;0.180;10;;;
1;28;2019;4;B2;41.5;0.282;0.282;10;;;
1;28;2019;4;B3;40.9;0.254;0.254;10;;;
1;28;2019;4;B4;40.7;0.189;0.189;10;;;
1;28;2019;4;B5;42.2;0.244;0.244;10;;;
1;28;2019;4;B6;12.5;0.001;0.001;5;;;
1;28;2019;4;C1;39.1;0.251;0.251;10;;;
1;28;2019;4;C2;18.2;0.150;0.150;5;;;
1;28;2019;4;C3;41.8;0.242;0.242;10;;;
1;28;2019;4;C4;42.1;0.210;0.210;10;;;
1;28;2019;4;C5;40.9;0.280;0.280;10;;;
1;28;2019;4;C6;19.9;0.199;0.199;5;;;
1;28;2019;4;D1;42.7;0.282;0.282;10;;;
1;28;2019;4;D2;19.9;0.221;0.221;5;;;
1;28;2019;4;D3;42.8;0.263;0.263;10;;;
1;28;2019;4;D4;42.9;0.239;0.239;10;;;
1;28;2019;4;D5;40.7;0.304;0.304;10;;;
1;28;2019;4;D6;20.3;0.224;0.224;5;;;
1;28;2019;4;E1;33.2;0.163;0.163;10;;;
1;28;2019;4;E2;17.8;0.174;0.174;5;;;
1;28;2019;4;E3;36.5;0.215;0.215;10;;;
1;28;2019;4;E4;44.4;0.275;0.275;10;;;
1;28;2019;4;E5;42.3;0.241;0.241;10;;;
1;28;2019;4;E6;41.9;0.278;0.278;10;;;
1;28;2019;4;F1;43.8;0.257;0.257;10;;;
1;28;2019;4;F2;29.0;0.161;0.161;10;;;
1;28;2019;4;F3;40.9;0.230;0.230;10;;;
1;28;2019;4;F4;41.9;0.240;0.240;10;;;
1;28;2019;4;F5;43.7;0.282;0.282;10;;;
1;28;2019;4;F6;18.9;0.190;0.190;5;;;
1;28;2019;5;A1;17.0;0.196;0.196;5;;;
1;28;2019;5;A2;18.2;0.224;0.224;5;;;
1;28;2019;5;A3;43.0;0.295;0.295;10;;;
1;28;2019;5;A4;41.1;0.194;0.194;10;;;
1;28;2019;5;A5;44.2;0.257;0.257;10;;;
1;28;2019;5;A6;43.8;0.282;0.282;10;;;
1;28;2019;5;B1;15.6;0.177;0.177;5;;;
1;28;2019;5;B2;40.3;0.190;0.190;10;;;
