"focal";"fitness";"BEMA";"CHFU";"CHMI";"CETE";"HOMA";"LEMA";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SPRU";"MESU";"MEEL";"MEPO";"SOAS";"FRPU";"SUSP";"COSQ";"RAPE";"plot";"subplot"
"LEMA";174;0;0;0;3;0;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;7;"D6"
"POMA";2074;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;7;"D6"
"CHFU";64;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;1;0;0;0;0;7;"D6"
"POMO";84;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;"D6"
"CHFU";128;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;7;"F1"
"SPRU";600;0;0;0;0;0;1;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;7;"F1"
"SCLA";62;1;0;0;0;0;0;0;0;0;0;0;1;0;4;3;0;0;0;0;0;0;0;7;"F1"
"LEMA";232;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;7;"F1"
"POMO";126;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;7;"F1"
"BEMA";36;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;3;0;7;"F1"
"SOAS";275;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;7;"F1"
"LEMA";58;0;0;0;0;0;0;2;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;7;"F2"
"BEMA";44;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;"F2"
"POMA";1037;0;0;0;0;0;2;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;7;"F2"
"POMO";84;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;7;"F2"
"SPRU";1080;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;"F2"
"HOMA";80;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;7;"F2"
"SOAS";110;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;7;"F2"
"SCLA";31;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;7;"F2"
"CHFU";64;0;0;0;0;0;0;0;0;2;1;0;0;0;1;1;0;0;0;0;0;0;0;7;"F2"
"BEMA";64;0;0;0;0;0;1;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;7;"F3"
"LEMA";116;2;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;"F3"
"CHFU";64;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;7;"F3"
"SCLA";31;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;7;"F3"
"HOMA";20;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;"F3"
"POMO";42;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;"F3"
"POMA";2074;0;0;0;0;0;1;0;0;8;0;0;0;0;1;1;0;0;0;0;0;0;0;7;"F3"
"SPRU";672;0;0;0;0;0;0;0;2;0;0;1;0;0;4;2;0;0;0;0;0;0;0;7;"F3"
"SOAS";110;0;0;0;0;0;3;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;7;"F3"
"HOMA";20;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;"F3"
"CHFU";32;1;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;7;"F4"
"BEMA";108;2;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;7;"F4"
"LEMA";116;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;7;"F4"
"SCLA";31;1;0;0;0;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;"F4"
"POMA";2074;3;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;"F4"
"SPRU";2400;0;0;0;0;0;0;0;0;2;0;2;0;0;3;0;0;2;0;0;0;0;0;7;"F4"
"POMO";168;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;7;"F4"
"HOMA";20;0;0;0;0;4;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;7;"F4"
"BEMA";48;0;0;0;3;0;5;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;7;"F5"
"LEMA";290;0;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;7;"F5"
"POMO";126;1;0;0;3;0;3;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;7;"F5"
"SPRU";1440;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;"F5"
"POMA";6222;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;7;"F5"
"HOMA";20;0;0;0;0;7;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;"F5"
"SCLA";155;1;0;0;0;0;0;0;0;6;0;0;5;0;0;0;0;0;0;0;0;0;0;7;"F6"
"POMA";1037;1;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;7;"F6"
"SPRU";1440;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;7;"F6"
"SOAS";220;0;0;0;0;0;1;0;0;5;0;0;2;0;0;1;0;0;3;0;0;0;0;7;"F6"
"BEMA";100;0;0;0;0;0;0;0;0;7;0;0;1;0;2;0;0;0;0;0;0;0;0;7;"F6"
"LEMA";406;0;0;0;0;0;1;0;0;2;0;0;6;0;0;1;0;0;0;0;0;0;0;7;"F6"
"SOAS";330;0;2;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;8;"A1"
"CHFU";320;0;1;0;0;0;0;0;1;0;0;0;0;0;3;2;0;0;1;0;0;0;0;8;"A1"
"BEMA";192;2;1;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;8;"A1"
"LEMA";290;2;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"A1"
"HOMA";160;0;1;0;5;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;8;"A1"
"SPRU";1104;0;1;0;0;0;3;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;8;"A1"
"POMA";1037;0;0;0;0;0;1;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;8;"A1"
"POMO";42;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;8;"A1"
"CHFU";320;1;0;0;0;0;1;0;0;5;0;0;3;0;0;1;0;0;0;0;0;0;0;8;"A2"
"BEMA";44;4;1;0;0;0;0;0;0;3;0;0;8;0;0;2;0;0;0;0;0;0;0;8;"A2"
"HOMA";100;0;0;0;0;0;2;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;8;"A2"
"SPRU";2304;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"A2"
"LEMA";406;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"A2"
"POMO";84;1;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;8;"A2"
"POMA";2074;0;1;0;0;1;0;1;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;8;"A2"
"POMO";42;0;1;0;1;0;0;0;1;4;0;1;1;0;0;0;0;0;0;0;0;0;0;8;"A3"
"CHFU";128;1;2;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"A3"
"BEMA";64;1;0;0;4;0;0;0;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;8;"A3"
"SCLA";31;2;0;0;4;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;8;"A3"
"POMA";4148;0;0;0;0;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"A3"
"SOAS";55;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;"A3"
"LEMA";290;1;0;0;2;0;0;0;2;8;1;0;0;0;0;0;0;0;0;0;0;0;0;8;"A3"
"SPRU";1992;0;2;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"A3"
"SOAS";275;0;3;0;6;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;"A4"
"BEMA";48;0;0;0;5;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;8;"A4"
"CHFU";128;0;0;0;5;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;8;"A4"
"POMO";252;0;2;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;1;8;"A4"
"LEMA";464;0;0;0;10;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;8;"A4"
"HOMA";80;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;8;"A4"
"POMA";2074;2;2;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;"A4"
"SCLA";31;0;0;0;2;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;8;"A4"
"BEMA";252;1;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C1"
"HOMA";20;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C1"
"LEMA";696;0;0;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C1"
"HOMA";160;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C2"
"LEMA";116;0;0;0;0;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;"C2"
"SCLA";62;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C2"
"BEMA";48;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C2"
"BEMA";100;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;"C3"
"CHFU";1056;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C3"
"SOAS";110;0;1;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C3"
"HOMA";40;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C3"
"LEMA";870;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C3"
"SCLA";93;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C3"
"LEMA";58;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C4"
"HOMA";60;1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C4"
"SOAS";825;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C4"
"CHFU";128;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C4"
"BEMA";20;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C4"
"LEMA";580;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C5"
"CHFU";480;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C5"
"BEMA";56;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C5"
"HOMA";40;0;0;0;0;2;2;4;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;3;"C5"
"BEMA";52;1;0;0;0;6;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C6"
"LEMA";174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"C6"
"SCLA";93;1;0;0;0;2;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;"C6"
"SOAS";220;0;0;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D1"
"LEMA";116;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D1"
"SCLA";62;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D1"
"LEMA";1044;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D2"
"HOMA";20;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D2"
"LEMA";58;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D3"
"LEMA";696;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;"D3"
"SCLA";248;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D3"
"HOMA";80;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;"D3"
"LEMA";580;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D4"
"HOMA";40;0;1;0;0;4;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;"D4"
"BEMA";108;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D4"
"CHFU";416;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;"D4"
"SOAS";275;0;0;0;2;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D4"
"LEMA";232;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D5"
"HOMA";20;0;0;0;4;0;2;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;3;"D5"
"BEMA";200;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D5"
"BEMA";352;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D6"
"HOMA";20;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;"D6"
"LEMA";522;1;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"D6"
"LEMA";58;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A1"
"BEMA";28;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A1"
"HOMA";60;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A1"
"BEMA";88;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A2"
"HOMA";20;2;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A2"
"BEMA";88;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A3"
"HOMA";40;3;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A3"
"BEMA";76;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A4"
"HOMA";60;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A4"
"LEMA";522;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A5"
"HOMA";120;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A5"
"BEMA";48;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A5"
"LEMA";406;0;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A6"
"CHFU";32;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A6"
"BEMA";52;0;0;0;0;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A6"
"HOMA";60;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"A6"
"LEMA";58;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B1"
"BEMA";32;0;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B1"
"HOMA";60;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B1"
"CHFU";32;0;1;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B2"
"LEMA";116;0;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B2"
"LEMA";58;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F4"
"HOMA";40;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F4"
"BEMA";64;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F4"
"LEMA";290;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F5"
"HOMA";20;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F5"
"BEMA";12;0;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F5"
"LEMA";174;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F6"
"LEMA";116;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E1"
"HOMA";20;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E1"
"BEMA";32;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E1"
"LEMA";58;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E2"
"HOMA";40;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E2"
"BEMA";28;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E2"
"BEMA";104;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E3"
"HOMA";20;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E3"
"LEMA";58;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E3"
"HOMA";40;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E4"
"BEMA";112;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E4"
"LEMA";58;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E4"
"LEMA";464;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E5"
"BEMA";28;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E5"
"HOMA";20;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E5"
"HOMA";60;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E6"
"LEMA";348;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E6"
"BEMA";48;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"E6"
"LEMA";58;1;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F1"
"HOMA";60;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F1"
"BEMA";60;1;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F1"
"CHFU";32;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F1"
"BEMA";76;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F2"
"HOMA";40;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;"F2"
"LEMA";58;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F2"
"BEMA";52;0;0;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F3"
"LEMA";174;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F3"
"HOMA";60;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"F3"
"CHFU";96;1;0;0;4;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C5"
"BEMA";20;0;1;0;4;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C5"
"HOMA";20;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C5"
"LEMA";232;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C5"
"LEMA";290;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C6"
"BEMA";120;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C6"
"HOMA";20;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C6"
"BEMA";32;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D1"
"LEMA";58;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D1"
"HOMA";40;3;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D1"
"LEMA";58;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D2"
"HOMA";20;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D2"
"BEMA";16;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D2"
"LEMA";58;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D3"
"BEMA";44;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D3"
"HOMA";20;2;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D3"
"BEMA";64;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D4"
"HOMA";20;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D4"
"LEMA";58;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D4"
"LEMA";58;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D5"
"HOMA";20;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D5"
"BEMA";132;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D6"
"LEMA";174;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D6"
"HOMA";20;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"D6"
"BEMA";240;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B2"
"HOMA";100;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B2"
"LEMA";58;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B3"
"BEMA";44;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B3"
"HOMA";20;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B3"
"BEMA";80;0;0;0;0;5;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B4"
"HOMA";80;0;0;0;0;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B4"
"LEMA";116;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B4"
"BEMA";56;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B5"
"HOMA";100;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B5"
"LEMA";58;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B5"
"CHFU";32;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B6"
"LEMA";58;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B6"
"BEMA";68;0;0;0;0;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"B6"
"LEMA";58;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C1"
"HOMA";20;0;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C1"
"BEMA";40;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C2"
"HOMA";20;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C2"
"LEMA";58;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C2"
"LEMA";58;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C3"
"BEMA";68;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C3"
"HOMA";20;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C3"
"CHFU";192;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C4"
"HOMA";220;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C4"
"LEMA";232;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C4"
"HOMA";60;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"C4"
"BEMA";172;2;0;0;2;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;"F3"
"LEMA";290;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"F3"
